name,room_numbers,address,price,usable_area,gross_floor_area,url,latitude,longitude
CENTURY GATEWAY・PHASE 1,Low Floor・FLAT D・2 Rooms,Tuen Mun Town Centre,7.68M,480ft²,623ft²,https://hk.centanet.com/findproperty/en/detail/CENTURY-GATEWAY-PHASE-1_CWA391?theme=buy,22.3908295,113.9725126
CHEUNG WO COURT・WO SHING HOUSE (BLOCK C),Middle Floor・FLAT 3・2 Rooms,Kwun Tong,4.8M,467ft²,,https://hk.centanet.com/findproperty/en/detail/CHEUNG-WO-COURT-WO-SHING-HOUSE-(BLOCK-C)_UCA091?theme=buy,22.3103686,114.2227035
Avon Park・BLOCK 6,Middle Floor・2 Rooms,Fanling,4.2M,400ft²,518ft²,https://hk.centanet.com/findproperty/en/detail/Avon-Park-BLOCK-6_EOH095?theme=buy,22.4916829,114.1414685
Royal Green,3 Rooms,Fanling,6M,551ft²,762ft²,https://hk.centanet.com/findproperty/en/detail/Royal-Green_EPE384?theme=buy,22.4916829,114.1414685
Noble Place・TOWER 1,FLAT F・2 Rooms,Tuen Mun San Hui,4.4M,508ft²,640ft²,https://hk.centanet.com/findproperty/en/detail/Noble-Place-TOWER-1_CGN301?theme=buy,22.3989729,113.9789238
Skypark,FLAT B1・2 Rooms,Mong Kok,7.98M,463ft²,,https://hk.centanet.com/findproperty/en/detail/Skypark_UAV899?theme=buy,22.3203648,114.169773
SHEUNGSHUI TOWN CENTER,Low Floor・FLAT F・2 Rooms,Sheung Shui,4M,408ft²,552ft²,https://hk.centanet.com/findproperty/en/detail/SHEUNGSHUI-TOWN-CENTER_EOK714?theme=buy,22.5112008,114.1260991
RICHSUN GARDEN,Middle Floor・FLAT B・1 Room,Sai Ying Pun,4.48M,242ft²,376ft²,https://hk.centanet.com/findproperty/en/detail/RICHSUN-GARDEN_LAA252?theme=buy,22.2875634,114.1417059
SERENO VERDE・PHASE 5 REACH SUMMIT・TOWER 1,Middle Floor・Studio,Yuen Long Southeast,3M,195ft²,,https://hk.centanet.com/findproperty/en/detail/SERENO-VERDE-PHASE-5-REACH-SUMMIT-TOWER-1_GAD846?theme=buy,22.4445376,114.0222076
Vianni Cove・Tower 3,Low Floor・FLAT E・3 Rooms,Tin Shui Wai,5.9M,671ft²,884ft²,https://hk.centanet.com/findproperty/en/detail/Vianni-Cove-Tower-3_CJW080?theme=buy,22.4606419,114.0041996
Valais,3 Rooms,Kwu Tung,26.8M,"1,660ft²","2,828ft²",https://hk.centanet.com/findproperty/en/detail/Valais_EPW935?theme=buy,22.5038012,114.1023164
MANTIN HEIGHTS・TOWER 5,Low Floor・FLAT E・2 Rooms,Ho Man Tin,10.6M,532ft²,,https://hk.centanet.com/findproperty/en/detail/MANTIN-HEIGHTS-TOWER-5_MMV750?theme=buy,22.318507,114.1755339
TAI PO CENTRE,Middle Floor・FLAT B・2 Rooms,Tai Po Town Centre,4.3M,391ft²,498ft²,https://hk.centanet.com/findproperty/en/detail/TAI-PO-CENTRE_AMI637?theme=buy,22.4423218,114.1655064
CONVENTION PLAZA APARTMENTS,Low Floor・FLAT 8・Studio,Wan Chai,10.38M,410ft²,543ft²,https://hk.centanet.com/findproperty/en/detail/CONVENTION-PLAZA-APARTMENTS_TGD067?theme=buy,22.276022,114.1751471
Kingswood Villas・Phase 6 Maywood Court・Block 3,High Floor・FLAT E・2 Rooms,Tin Shui Wai,4.15M,441ft²,584ft²,https://hk.centanet.com/findproperty/en/detail/Kingswood-Villas-Phase-6-Maywood-Court-Block-3_CJK478?theme=buy,22.4606419,114.0041996
Emerald Green・Block 3,High Floor・FLAT C・2 Rooms,Yuen Long Town Centre,12M,"1,108ft²","1,443ft²",https://hk.centanet.com/findproperty/en/detail/Emerald-Green-Block-3_CQS988?theme=buy,22.4445376,114.0222076
Pictorial Garden・Phase 3・IRIS COURT (TOWER 2),High Floor・FLAT C・5 Rooms,Shek Mun,9.5M,770ft²,"1,067ft²",https://hk.centanet.com/findproperty/en/detail/Pictorial-Garden-Phase-3-IRIS-COURT-(TOWER-2)_EAJ712?theme=buy,22.3889593,114.2088722
Montego Bay・Tower 3,Low Floor・FLAT H・1 Room,Yau Tong,5.55M,347ft²,,https://hk.centanet.com/findproperty/en/detail/Montego-Bay-Tower-3_DUG425?theme=buy,22.2940736,114.2375638
PERTH GARDEN・HOVE COURT,FLAT A・3 Rooms,Ho Man Tin,11M,813ft²,929ft²,https://hk.centanet.com/findproperty/en/detail/PERTH-GARDEN-HOVE-COURT_MGL025?theme=buy,22.318507,114.1755339
CENTURY LINK・PHASE 1・TOWER 5A,Low Floor・FLAT 10・2 Rooms,Tung Chung Town Centre,6.2M,483ft²,,https://hk.centanet.com/findproperty/en/detail/CENTURY-LINK-PHASE-1-TOWER-5A_FGZ897?theme=buy,22.2873743,113.9425086
KINGSWOOD VILLAS・PHASE 6 MAYWOOD COURT・BLOCK 1,3 Rooms・(1 Suite),Tin Shui Wai,4.78M,623ft²,815ft²,https://hk.centanet.com/findproperty/en/detail/KINGSWOOD-VILLAS-PHASE-6-MAYWOOD-COURT-BLOCK-1_CJA013?theme=buy,22.4606419,114.0041996
Sereno Verde・PHASE 5 REACH SUMMIT・Tower 1,High Floor・FLAT K・Studio,Yuen Long Southeast,3.8M,195ft²,,https://hk.centanet.com/findproperty/en/detail/Sereno-Verde-PHASE-5-REACH-SUMMIT-Tower-1_GAD848?theme=buy,22.4445376,114.0222076
THE MET. BLOSSOM・TOWER 2,1 Room,Ma On Shan,4.35M,296ft²,,https://hk.centanet.com/findproperty/en/detail/THE-MET--BLOSSOM-TOWER-2_EMZ637?theme=buy,22.4276756,114.2402751
No. 11 Macdonnell Road,Low Floor・NO. 11・3 Rooms,Mid-Levels Central,44M,"1,552ft²",,https://hk.centanet.com/findproperty/en/detail/No--11-Macdonnell-Road_TGJ443?theme=buy,22.2838464,114.1549689
Yoho Town・PHASE 2 YOHO MIDTOWN・Block M7,Middle Floor・2 Rooms,Yuen Long Station,7.58M,520ft²,677ft²,https://hk.centanet.com/findproperty/en/detail/Yoho-Town-PHASE-2-YOHO-MIDTOWN-Block-M7_CQR638?theme=buy,22.4460876,114.0347702
Fairview Garden・BLOCK 1,High Floor・FLAT B・3 Rooms,Luk Yeung,7.2M,505ft²,648ft²,https://hk.centanet.com/findproperty/en/detail/Fairview-Garden-BLOCK-1_CLZ744?theme=buy,,
Eden Manor・TOWER 7,Middle Floor・FLAT F・2 Rooms,Sheung Shui,6.98M,487ft²,,https://hk.centanet.com/findproperty/en/detail/Eden-Manor-TOWER-7_EUL845?theme=buy,22.5112008,114.1260991
The Victoria Towers・TOWER 2,Low Floor・FLAT G・2 Rooms・(1 Suite),Tsim Sha Tsui,23.8M,899ft²,"1,219ft²",https://hk.centanet.com/findproperty/en/detail/The-Victoria-Towers-TOWER-2_SVN238?theme=buy,22.2988123,114.1721746
Kornhill・Block A (Flat 1 - 8),3 Rooms,Kornhill,10.8M,710ft²,902ft²,https://hk.centanet.com/findproperty/en/detail/Kornhill-Block-A-(Flat-1---8)_DDH976?theme=buy,22.2828318,114.2160161
Bedford Gardens・(BLOCK C) PAK KAI COURT,High Floor・FLAT F・2 Rooms,North Point,5.4M,543ft²,630ft²,https://hk.centanet.com/findproperty/en/detail/Bedford-Gardens-(BLOCK-C)-PAK-KAI-COURT_DOH030?theme=buy,,
Arts Mansion,3 Rooms,Happy Valley,22M,"1,051ft²",,https://hk.centanet.com/findproperty/en/detail/Arts-Mansion_TAL014?theme=buy,,
GOLDEN LION GARDEN・PHASE 2・GOLDEN COMFORT COURT (BLOCK D),2 Rooms,Tai Wai,4.28M,306ft²,488ft²,https://hk.centanet.com/findproperty/en/detail/GOLDEN-LION-GARDEN-PHASE-2-GOLDEN-COMFORT-COURT-(BLOCK-D)_ECK868?theme=buy,22.375941,114.178626
Po Nga Court,Low Floor・2 Rooms,Tai Po Town Centre,3.65M,381ft²,501ft²,https://hk.centanet.com/findproperty/en/detail/Po-Nga-Court_AMV803?theme=buy,22.4423218,114.1655064
LEI KING WAN・Sites B・BLOCK 8 YAT WAH MANSION,Low Floor・FLAT H・3 Rooms・(1 Suite),Sai Wan Ho,12M,739ft²,884ft²,https://hk.centanet.com/findproperty/en/detail/LEI-KING-WAN-Sites-B-BLOCK-8-YAT-WAH-MANSION_DIQ580?theme=buy,22.2824738,114.2227035
KINGSWOOD VILLAS・PHASE 2 SHERWOOD COURT,Middle Floor・FLAT E・2 Rooms,Tin Shui Wai,4.28M,448ft²,586ft²,https://hk.centanet.com/findproperty/en/detail/KINGSWOOD-VILLAS-PHASE-2-SHERWOOD-COURT_CJU323?theme=buy,22.4606419,114.0041996
AVA 228,Low Floor・FLAT A・Studio,Sham Shui Po,3.71M,203ft²,,https://hk.centanet.com/findproperty/en/detail/AVA-228_MXJ342?theme=buy,22.3285899,114.1602846
TAIKOO SHING・On Shing Terrace・(T-29)  SHUN ON MANSION,High Floor・FLAT H・3 Rooms,Taikoo Shing,10.68M,703ft²,800ft²,https://hk.centanet.com/findproperty/en/detail/TAIKOO-SHING-On-Shing-Terrace-(T-29)--SHUN-ON-MANSION_DAA386?theme=buy,22.2865471,114.2189883
SAN FUNG AVENUE,Low Floor・FLAT C・2 Rooms,Sheung Shui,4.18M,392ft²,536ft²,https://hk.centanet.com/findproperty/en/detail/SAN-FUNG-AVENUE_EOJ038?theme=buy,22.5112008,114.1260991
SEA PANORAMA COURT,Middle Floor・2 Rooms・(1 Suite),Cheung Sha Wan,6.2M,434ft²,732ft²,https://hk.centanet.com/findproperty/en/detail/SEA-PANORAMA-COURT_MUC809?theme=buy,22.3358055,114.1494892
One Regent Place・Tower 1,4 Rooms,Yuen Long Station,18.8M,"1,098ft²","1,515ft²",https://hk.centanet.com/findproperty/en/detail/One-Regent-Place-Tower-1_CVD050?theme=buy,22.4460876,114.0347702
KING TIN COURT・BING SAM HOUSE (BLOCK C),Middle Floor・FLAT 6・2 Rooms,Tai Wai,4.6M,431ft²,520ft²,https://hk.centanet.com/findproperty/en/detail/KING-TIN-COURT-BING-SAM-HOUSE-(BLOCK-C)_EBY150?theme=buy,22.375941,114.178626
MIAMI BEACH TOWERS,Low Floor・2 Rooms,Tuen Mun Ferry Pier,3.7M,398ft²,,https://hk.centanet.com/findproperty/en/detail/MIAMI-BEACH-TOWERS_CEB769?theme=buy,22.3717798,113.9660391
PHOENIX COURT・BLOCK 4,2 Rooms,Mid-Levels Central,13.2M,915ft²,,https://hk.centanet.com/findproperty/en/detail/PHOENIX-COURT-BLOCK-4_TGE357?theme=buy,22.2838464,114.1549689
Full Yau Court,High Floor・1 Room,Yuen Long Town Centre,2.9M,277ft²,373ft²,https://hk.centanet.com/findproperty/en/detail/Full-Yau-Court_CPD397?theme=buy,22.4445376,114.0222076
Mantin Heights・Tower 9,Middle Floor・FLAT C・2 Rooms,Ho Man Tin,10M,586ft²,,https://hk.centanet.com/findproperty/en/detail/Mantin-Heights-Tower-9_MMW679?theme=buy,22.318507,114.1755339
Lakeview Garden・Tower 2,Middle Floor・FLAT D・3 Rooms,Tai Wai,11.68M,"1,017ft²","1,278ft²",https://hk.centanet.com/findproperty/en/detail/Lakeview-Garden-Tower-2_AIC405?theme=buy,22.375941,114.178626
Shatinpark・Stage 3・Savoy Garden (Block A),High Floor・2 Rooms,Sha Tin,4.12M,312ft²,486ft²,https://hk.centanet.com/findproperty/en/detail/Shatinpark-Stage-3-Savoy-Garden-(Block-A)_EAH013?theme=buy,22.3771304,114.1974398
Lockhart House・Block A,High Floor・FLAT 6・2 Rooms,Causeway Bay,8M,552ft²,671ft²,https://hk.centanet.com/findproperty/en/detail/Lockhart-House-Block-A_TCK103?theme=buy,22.2859787,114.1914919
Lohas Park・PHASE 9C OCEAN MARINI・Tower 1 (1B),Low Floor・FLAT E・2 Rooms,Lohas Park,6.9M,479ft²,,https://hk.centanet.com/findproperty/en/detail/Lohas-Park-PHASE-9C-OCEAN-MARINI-Tower-1-(1B)_UHM503?theme=buy,22.2944817,114.2702546
GRAND YOHO・Phase 2・TOWER 8,High Floor・FLAT E・2 Rooms,Yuen Long Station,8.5M,529ft²,,https://hk.centanet.com/findproperty/en/detail/GRAND-YOHO-Phase-2-TOWER-8_CVY324?theme=buy,22.4460876,114.0347702
CITY ONE SHATIN・Site 3・BLOCK 31,Low Floor・FLAT G・2 Rooms,City One Shatin,5.1M,327ft²,395ft²,https://hk.centanet.com/findproperty/en/detail/CITY-ONE-SHATIN-Site-3-BLOCK-31_EBH293?theme=buy,22.3867692,114.2026412
Greenfield Garden・BLOCK 2,Low Floor・FLAT B・2 Rooms,Tai Kok Tsui,5.85M,346ft²,474ft²,https://hk.centanet.com/findproperty/en/detail/Greenfield-Garden-BLOCK-2_SUF999?theme=buy,22.3198474,114.1620857
EIGHT REGENCY,2 Rooms,Tuen Mun North,5.3M,476ft²,,https://hk.centanet.com/findproperty/en/detail/EIGHT-REGENCY_CZC195?theme=buy,22.3908295,113.9725126
Parc Oasis・TOWER 20 (45 TAT CHEE AVE),FLAT D・3 Rooms・(1 Suite),Yau Yat Tsuen,10M,603ft²,,https://hk.centanet.com/findproperty/en/detail/Parc-Oasis-TOWER-20-(45-TAT-CHEE-AVE)_MKD050?theme=buy,22.3312462,114.1744039
LEI KING WAN・SITES A・BLOCK 4 KWUN FUNG MANSION,Low Floor・FLAT B・3 Rooms・(1 Suite),Sai Wan Ho,10.5M,677ft²,767ft²,https://hk.centanet.com/findproperty/en/detail/LEI-KING-WAN-SITES-A-BLOCK-4-KWUN-FUNG-MANSION_DII075?theme=buy,22.2824738,114.2227035
BEVERLY VILLA・BLOCK 5,FLAT B・4 Rooms,Kowloon Tong,24.5M,"1,607ft²","1,742ft²",https://hk.centanet.com/findproperty/en/detail/BEVERLY-VILLA-BLOCK-5_MCB133?theme=buy,22.3369319,114.1763367
CHEUNG WAH COURT,High Floor・FLAT D・2 Rooms,Cheung Sha Wan,4.8M,362ft²,503ft²,https://hk.centanet.com/findproperty/en/detail/CHEUNG-WAH-COURT_MNZ680?theme=buy,22.3358055,114.1494892
Park Signature・Tower 2,Low Floor・FLAT A・4 Rooms,Shap Pat Heung,12M,952ft²,,https://hk.centanet.com/findproperty/en/detail/Park-Signature-Tower-2_CVP824?theme=buy,22.4274166,114.0347095
THE REACH・TOWER 6,FLAT F・2 Rooms,Yuen Long Southeast,4.58M,446ft²,607ft²,https://hk.centanet.com/findproperty/en/detail/THE-REACH-TOWER-6_CVA882?theme=buy,22.4445376,114.0222076
Century Link・Phase 1・Tower 6A,Middle Floor・FLAT 6・2 Rooms,Tung Chung Town Centre,6.3M,483ft²,,https://hk.centanet.com/findproperty/en/detail/Century-Link-Phase-1-Tower-6A_FGZ383?theme=buy,22.2873743,113.9425086
Luen Lee Building,Middle Floor・FLAT B・1 Room,Wan Chai,5.3M,324ft²,439ft²,https://hk.centanet.com/findproperty/en/detail/Luen-Lee-Building_TCF921?theme=buy,22.276022,114.1751471
Aberdeen Centre・HOI SHAN COURT (BLOCK C),High Floor・FLAT 2・2 Rooms,Aberdeen,5.85M,438ft²,529ft²,https://hk.centanet.com/findproperty/en/detail/Aberdeen-Centre-HOI-SHAN-COURT-(BLOCK-C)_TIK273?theme=buy,57.1498891,-2.0937528
Wai Wah Centre・Block 2,High Floor・FLAT A・2 Rooms,Sha Tin,5.6M,358ft²,483ft²,https://hk.centanet.com/findproperty/en/detail/Wai-Wah-Centre-Block-2_EAC023?theme=buy,22.3771304,114.1974398
FLORA PLAZA・BLOCK 5,High Floor・FLAT A・2 Rooms,Fanling,4.38M,392ft²,547ft²,https://hk.centanet.com/findproperty/en/detail/FLORA-PLAZA-BLOCK-5_ENC566?theme=buy,22.4916829,114.1414685
Yee Ching Court・Yat Ching House (Block C),Low Floor・FLAT 12・2 Rooms,Cheung Sha Wan,4.98M,531ft²,,https://hk.centanet.com/findproperty/en/detail/Yee-Ching-Court-Yat-Ching-House-(Block-C)_MNC095?theme=buy,22.3358055,114.1494892
PIEDMONT GARDEN,FLAT B (NO. 39A),North Point Mid-Levels,10M,831ft²,,https://hk.centanet.com/findproperty/en/detail/PIEDMONT-GARDEN_DMQ822?theme=buy,22.2816223,114.147865
The Reach・Tower 13,Low Floor・FLAT G・2 Rooms,Yuen Long Southeast,5.5M,426ft²,577ft²,https://hk.centanet.com/findproperty/en/detail/The-Reach-Tower-13_CVC163?theme=buy,22.4445376,114.0222076
GARFIELD COURT,Middle Floor・FLAT A・3 Rooms,Ho Man Tin,12.5M,897ft²,994ft²,https://hk.centanet.com/findproperty/en/detail/GARFIELD-COURT_MGM273?theme=buy,22.318507,114.1755339
Dynasty Heights・Tropicana・Tropicana 1 (Block 26),High Floor・FLAT D・2 Rooms,Lung Ping,11M,649ft²,847ft²,https://hk.centanet.com/findproperty/en/detail/Dynasty-Heights-Tropicana-Tropicana-1-(Block-26)_MAA179?theme=buy,,
LEI KING WAN・SITES C・BLOCK 10 YEE QUN MANSION,Low Floor・FLAT F・1 Room,Sai Wan Ho,7.3M,498ft²,582ft²,https://hk.centanet.com/findproperty/en/detail/LEI-KING-WAN-SITES-C-BLOCK-10-YEE-QUN-MANSION_DIQ246?theme=buy,22.2824738,114.2227035
TAIKOO SHING・HORIZON GARDENS・(T-57)  FU TIEN MANSION,High Floor・FLAT A・3 Rooms・(1 Suite),Taikoo Shing,16M,787ft²,898ft²,https://hk.centanet.com/findproperty/en/detail/TAIKOO-SHING-HORIZON-GARDENS-(T-57)--FU-TIEN-MANSION_DAR978?theme=buy,22.2865471,114.2189883
LAI TSUI COURT・TOWER 3 (LAI TONG HOUSE),FLAT 10・1 Room,Cheung Sha Wan,3.28M,281ft²,,https://hk.centanet.com/findproperty/en/detail/LAI-TSUI-COURT-TOWER-3-(LAI-TONG-HOUSE)_MXU478?theme=buy,22.3358055,114.1494892
Parc Regal・Tower 1,Middle Floor・FLAT D・3 Rooms,Ho Man Tin,13M,677ft²,853ft²,https://hk.centanet.com/findproperty/en/detail/Parc-Regal-Tower-1_MGI771?theme=buy,22.318507,114.1755339
PARKVALE・TOWER 2 SHUI PAK MANSION,2 Rooms・(1 Suite),Quarry Bay,7.6M,535ft²,661ft²,https://hk.centanet.com/findproperty/en/detail/PARKVALE-TOWER-2-SHUI-PAK-MANSION_DDB233?theme=buy,22.2827206,114.2123009
Mei Foo Sun Chuen・Phase 6・25-27 Nassau Street,Middle Floor・FLAT B NO. 27・2 Rooms,Mei Foo,7.5M,716ft²,,https://hk.centanet.com/findproperty/en/detail/Mei-Foo-Sun-Chuen-Phase-6-25-27-Nassau-Street_MOT315?theme=buy,22.3366356,114.1402195
FANLING TOWN CENTER・BRILLIANT COURT (BLOCK 2),High Floor・FLAT H・2 Rooms,Fanling,4.1M,376ft²,502ft²,https://hk.centanet.com/findproperty/en/detail/FANLING-TOWN-CENTER-BRILLIANT-COURT-(BLOCK-2)_ENY904?theme=buy,22.4916829,114.1414685
Elegance Garden,Middle Floor・3 Rooms,Tai Po Town Centre,7.8M,592ft²,707ft²,https://hk.centanet.com/findproperty/en/detail/Elegance-Garden_AND405?theme=buy,22.4423218,114.1655064
San Po Kong Plaza・Block 1,Middle Floor・FLAT G・2 Rooms,San Po Kong,5.8M,437ft²,585ft²,https://hk.centanet.com/findproperty/en/detail/San-Po-Kong-Plaza-Block-1_SIT451?theme=buy,22.3364426,114.1989259
Hampton Place・TOWER 3,Low Floor・FLAT E・2 Rooms,Olympic Station,10.8M,456ft²,612ft²,https://hk.centanet.com/findproperty/en/detail/Hampton-Place-TOWER-3_SVM675?theme=buy,,
KINGSWOOD VILLAS・PHASE 7 KENSWOOD COURT・BLOCK 3,Middle Floor・FLAT G・3 Rooms,Tin Shui Wai,4.6M,547ft²,709ft²,https://hk.centanet.com/findproperty/en/detail/KINGSWOOD-VILLAS-PHASE-7-KENSWOOD-COURT-BLOCK-3_CJS192?theme=buy,22.4606419,114.0041996
Parc Oasis・TOWER 22 (28 GRANDEUR RD),High Floor・FLAT E・3 Rooms・(1 Suite),Yau Yat Tsuen,11.8M,654ft²,,https://hk.centanet.com/findproperty/en/detail/Parc-Oasis-TOWER-22-(28-GRANDEUR-RD)_MKA594?theme=buy,22.3312462,114.1744039
Mount Parker Lodge・Block C,Low Floor・FLAT 3・3 Rooms,Quarry Bay,10.38M,835ft²,"1,007ft²",https://hk.centanet.com/findproperty/en/detail/Mount-Parker-Lodge-Block-C_DEN742?theme=buy,22.2827206,114.2123009
BELAIRE HEIGHTS,Low Floor・FLAT A・3 Rooms・(1 Suite),Ho Man Tin,11.5M,"1,184ft²","1,500ft²",https://hk.centanet.com/findproperty/en/detail/BELAIRE-HEIGHTS_MGH025?theme=buy,22.318507,114.1755339
Dynasty Heights・TROPICANA・Tropicana 6 (Block 21),Low Floor・FLAT E・2 Rooms,Lung Ping,11.5M,645ft²,849ft²,https://hk.centanet.com/findproperty/en/detail/Dynasty-Heights-TROPICANA-Tropicana-6-(Block-21)_MAA355?theme=buy,,
Royal Green,Middle Floor・FLAT F・3 Rooms,Fanling,6.98M,554ft²,778ft²,https://hk.centanet.com/findproperty/en/detail/Royal-Green_EPE407?theme=buy,22.4916829,114.1414685
The Forest Hills,Middle Floor・FLAT F・3 Rooms,Wong Tai Sin,8.99M,668ft²,931ft²,https://hk.centanet.com/findproperty/en/detail/The-Forest-Hills_SFU945?theme=buy,22.3548115,114.1974398
EUSTON COURT・TOWER 1,3 Rooms・(1 Suite),Mid-Levels West,15M,775ft²,930ft²,https://hk.centanet.com/findproperty/en/detail/EUSTON-COURT-TOWER-1_LAV138?theme=buy,22.2839605,114.1439586
Taikoo Shing・Harbour View Gardens (East),Middle Floor・FLAT H・3 Rooms,Taikoo Shing,28M,"1,114ft²","1,237ft²",https://hk.centanet.com/findproperty/en/detail/Taikoo-Shing-Harbour-View-Gardens-(East)_DAN340?theme=buy,22.2865471,114.2189883
KINGSWOOD VILLAS・PHASE 1 LOCWOOD COURT・BLOCK 13,Low Floor・FLAT C・3 Rooms,Tin Shui Wai,3.99M,551ft²,708ft²,https://hk.centanet.com/findproperty/en/detail/KINGSWOOD-VILLAS-PHASE-1-LOCWOOD-COURT-BLOCK-13_CJO941?theme=buy,22.4606419,114.0041996
Park View Mansion,High Floor・FLAT A・3 Rooms,Tin Hau,16.8M,776ft²,"1,054ft²",https://hk.centanet.com/findproperty/en/detail/Park-View-Mansion_DMR406?theme=buy,22.2823972,114.1922382
TAIKOO SHING・SING FAI TERRACE・(T-48)  HOI SING MANSION,Low Floor・FLAT B・2 Rooms,Taikoo Shing,9.83M,662ft²,757ft²,https://hk.centanet.com/findproperty/en/detail/TAIKOO-SHING-SING-FAI-TERRACE-(T-48)--HOI-SING-MANSION_DAX075?theme=buy,22.2865471,114.2189883
KORNHILL・BLOCK A (FLAT 1 - 8),Low Floor・FLAT 7・2 Rooms,Kornhill,6.15M,497ft²,600ft²,https://hk.centanet.com/findproperty/en/detail/KORNHILL-BLOCK-A-(FLAT-1---8)_DDT376?theme=buy,22.2828318,114.2160161
Yung Shing Court,High Floor・FLAT 16・3 Rooms,Fanling,4.2M,636ft²,892ft²,https://hk.centanet.com/findproperty/en/detail/Yung-Shing-Court_EPD771?theme=buy,22.4916829,114.1414685
Repulse Bay Garden・BLOCK 11-12,High Floor・BLOCK 11 (NO. 20)・3 Rooms・(1 Suite),Repulse Bay,50M,"1,513ft²","1,780ft²",https://hk.centanet.com/findproperty/en/detail/Repulse-Bay-Garden-BLOCK-11-12_TEG411?theme=buy,22.2345043,114.1952039
Harbour Heights・BLOCK 3 (NAM FUNG COURT),FLAT A・3 Rooms・(1 Suite),North Point,12.98M,814ft²,926ft²,https://hk.centanet.com/findproperty/en/detail/Harbour-Heights-BLOCK-3-(NAM-FUNG-COURT)_DOL706?theme=buy,,
Belair Monte・Block 6,Middle Floor・FLAT H・2 Rooms,Fanling,4.75M,427ft²,619ft²,https://hk.centanet.com/findproperty/en/detail/Belair-Monte-Block-6_ENR968?theme=buy,22.4916829,114.1414685
Grand Promenade・Tower 6,Middle Floor・FLAT G・2 Rooms,Sai Wan Ho,9.5M,508ft²,676ft²,https://hk.centanet.com/findproperty/en/detail/Grand-Promenade-Tower-6_DKB645?theme=buy,22.2824738,114.2227035
Yoho Town・PHASE 2 YOHO MIDTOWN・Block M8,High Floor・FLAT A・2 Rooms,Yuen Long Station,9M,473ft²,612ft²,https://hk.centanet.com/findproperty/en/detail/Yoho-Town-PHASE-2-YOHO-MIDTOWN-Block-M8_CQT447?theme=buy,22.4460876,114.0347702
Grand Waterfront・Tower 5,High Floor・FLAT H・2 Rooms,To Kwa Wan,6.98M,367ft²,504ft²,https://hk.centanet.com/findproperty/en/detail/Grand-Waterfront-Tower-5_SFT480?theme=buy,22.3173373,114.1879691
Noble Hill・TOWER 1,Low Floor・FLAT H・2 Rooms,Sheung Shui,6.2M,442ft²,573ft²,https://hk.centanet.com/findproperty/en/detail/Noble-Hill-TOWER-1_EPB828?theme=buy,22.5112008,114.1260991
GLORIOUS GARDEN・BLOCK 9,3 Rooms,Tuen Mun South,4M,592ft²,695ft²,https://hk.centanet.com/findproperty/en/detail/GLORIOUS-GARDEN-BLOCK-9_CGB843?theme=buy,22.3908295,113.9725126
Caribbean Coast・PHASE 2 ALBANY COVE・Tower 6,Low Floor・FLAT H・3 Rooms,Tung Chung Town Centre,10.38M,898ft²,"1,201ft²",https://hk.centanet.com/findproperty/en/detail/Caribbean-Coast-PHASE-2-ALBANY-COVE-Tower-6_FGE938?theme=buy,22.2873743,113.9425086
Kornhill・Block B (Flat 9 - 16),Low Floor・FLAT 12・3 Rooms,Kornhill,10.8M,710ft²,902ft²,https://hk.centanet.com/findproperty/en/detail/Kornhill-Block-B-(Flat-9---16)_DDG737?theme=buy,22.2828318,114.2160161
Fairview Park,3 Rooms,Palm Springs | Fairview,9.5M,915ft²,"1,300ft²",https://hk.centanet.com/findproperty/en/detail/Fairview-Park_EHB690?theme=buy,33.8302961,-116.5452921
Kam Fai Court,Low Floor・FLAT 14・3 Rooms,Ma On Shan,4.15M,424ft²,,https://hk.centanet.com/findproperty/en/detail/Kam-Fai-Court_EQD794?theme=buy,22.4276756,114.2402751
THE HEMISPHERES,FLAT C・1 Room,Tin Hau,7M,283ft²,,https://hk.centanet.com/findproperty/en/detail/THE-HEMISPHERES_DNK463?theme=buy,22.2823972,114.1922382
TIN PING ESTATE・TIN CHEUNG HOUSE (BLOCK 2),High Floor・FLAT 11・2 Rooms,Sheung Shui,1.8M,381ft²,,https://hk.centanet.com/findproperty/en/detail/TIN-PING-ESTATE-TIN-CHEUNG-HOUSE-(BLOCK-2)_EPG529?theme=buy,22.5112008,114.1260991
The Avenue・PHASE 2・Tower 3,Middle Floor・FLAT J・1 Room,Wan Chai,18M,602ft²,,https://hk.centanet.com/findproperty/en/detail/The-Avenue-PHASE-2-Tower-3_TNC395?theme=buy,22.276022,114.1751471
Ronsdale Garden,Middle Floor・3 Rooms・(1 Suite),Tai Hang Mid-Levels,14.9M,694ft²,,https://hk.centanet.com/findproperty/en/detail/Ronsdale-Garden_TAO851?theme=buy,22.2816223,114.147865
CHING WANG COURT・WANG CHAU HOUSE (BLOCK A),Low Floor・FLAT 8・2 Rooms,Tsing Yi,4.9M,506ft²,687ft²,https://hk.centanet.com/findproperty/en/detail/CHING-WANG-COURT-WANG-CHAU-HOUSE-(BLOCK-A)_FEH136?theme=buy,22.3474872,114.1023164
Lei King Wan・Sites B・Block 8 Yat Wah Mansion,High Floor・FLAT B・2 Rooms,Sai Wan Ho,7M,551ft²,648ft²,https://hk.centanet.com/findproperty/en/detail/Lei-King-Wan-Sites-B-Block-8-Yat-Wah-Mansion_DIM027?theme=buy,22.2824738,114.2227035
